IdRoom,has_wifi,has_tv,description,view_type
1,1,1,"Experience urban elegance in our Suite at Kharkiv Business Center Hotel, featuring stunning city views and modern amenities including complimentary WiFi and premium entertainment. Perfect for business travelers and leisure guests seeking comfort and connectivity at an exceptional nightly rate of $317.57.",City View
2,1,1,"Lviv Old Town Inn - Standard Single with Courtyard View
Experience the charm of Lviv's historic center from your cozy Standard Single room overlooking our peaceful courtyard. Complete with complimentary WiFi and flat-screen TV, this inviting space offers the perfect retreat after exploring the cobblestone streets and cultural treasures of Old Town. From just $62.23 per night.",Courtyard View
3,1,1,"Cozy Standard Single room at Kharkiv Business Center Hotel offering serene garden views, complimentary WiFi, and modern TV entertainment. Perfect for the traveling professional, this comfortable retreat starts at just $76.97 per night.",Garden View
4,1,1,"Experience comfort and convenience in our Standard Single room at Carpathian Mountain Lodge, perfectly nestled in scenic Bukovel with stunning street views. Enjoy complimentary WiFi and entertainment on your personal TV, all at an unbeatable nightly rate of just $69.62 — your ideal mountain retreat awaits.",Street View
5,1,1,"Discover comfort and affordability in our Standard Single room at Lviv Old Town Inn, featuring stunning Sea Views, complimentary WiFi, and a television for your entertainment. Perfect for solo travelers, this cozy retreat offers the ideal base to explore Lviv's historic charm, all for just $58.22 per night.",Sea View
6,1,1,"Experience comfort and convenience in our Family Room at Grand Riverside Hotel, perfectly designed for guests seeking space and togetherness with stunning garden views, complimentary WiFi, and entertainment via flat-screen TV. At just $204.86 per night, enjoy an ideal Kyiv getaway where your whole family can relax and create lasting memories.",Garden View
7,1,1,"Discover luxury and comfort in our Deluxe Courtyard View room at Grand Riverside Hotel, featuring premium amenities including complimentary WiFi and flat-screen TV. Enjoy serene views of our lush courtyard while experiencing exceptional hospitality in the heart of Kyiv, starting at just $191.25 per night.",Courtyard View
8,1,1,"Experience comfort and convenience in our Family Room at Grand Riverside Hotel, where stunning city views of Kyiv complement spacious accommodations perfect for families, complete with complimentary WiFi and modern TV entertainment. Enjoy exceptional value at just $181.37 per night for your ideal Kyiv getaway.",City View
9,1,1,"Wake up to breathtaking Carpathian Mountain vistas from your Deluxe room at Carpathian Mountain Lodge, complete with modern amenities including a flat-screen TV and complimentary WiFi. Escape to alpine serenity at just $186.12 per night and experience the perfect mountain retreat in Bukovel.",Mountain View
10,1,1,"Experience modern comfort in our Deluxe room at Kharkiv Business Center Hotel, featuring complimentary high-speed WiFi, flat-screen TV, and stunning street views of vibrant Kharkiv. The perfect blend of business convenience and relaxation at just $128.36 per night.",Street View
11,1,1,"Spacious Family Room at Lviv Old Town Inn offering stunning pool views, perfect for families seeking comfort and convenience with complimentary WiFi and flat-screen TV throughout your stay. Experience the charm of historic Lviv at just $219.61 per night.",Pool View
12,1,1,"Experience comfort and convenience in our spacious Family Room at Kharkiv Business Center Hotel, featuring serene pool views, complimentary WiFi, and a flat-screen TV—perfect for families seeking relaxation at just $238.19 per night.",Pool View
13,1,1,"Wake up to charming Lviv Old Town views from your comfortable Standard Double room, complete with modern amenities including free WiFi and flat-screen TV for your convenience. At just $104.94 per night, this is your perfect base for exploring historic streets and vibrant culture.",Street View
14,1,1,"Discover mountain serenity in our Standard Double room at Carpathian Mountain Lodge, where breathtaking sea views, complimentary WiFi, and modern entertainment await. Relax in rustic elegance at just $101.89 per night—your perfect Bukovel escape.",Sea View
15,1,1,"Experience timeless charm in our Deluxe room at Lviv Old Town Inn, featuring enchanting Street View vistas of the historic city center, free WiFi, and a modern TV—your perfect retreat in the heart of Lviv's captivating architecture. Indulge in comfort and connectivity from just $184.29 per night.",Street View
16,0,1,"Wake up to stunning views of the Dnieper River from your comfortable Standard Double room at Grand Riverside Hotel, featuring a flat-screen TV and serene pool views. Enjoy a peaceful stay in Kyiv's heart for just $108.93 per night.",Pool View
17,1,1,"Escape to comfort at the Carpathian Mountain Lodge in Bukovel with our Standard Double room, featuring a captivating City View and modern amenities including complimentary WiFi and flat-screen TV. Enjoy authentic mountain hospitality at just $113 per night—your perfect base for exploring the pristine Carpathian peaks.",City View
18,1,1,"Relax in our Standard Double room at Carpathian Mountain Lodge with stunning pool views, free WiFi, and modern TV entertainment, perfectly situated in scenic Bukovel for an unforgettable mountain getaway. Enjoy comfort and convenience from just $79.71 per night.",Pool View
19,1,1,"Lviv Old Town Inn Standard Double room offers a charming Pool View retreat in the heart of historic Lviv, complete with complimentary WiFi and flat-screen TV for your comfort. Wake up to the beauty of our shimmering pool and explore the enchanting cobblestone streets just steps away, all for just $118.98 per night.",Pool View
20,1,1,"Escape to luxury in our spacious Suite at Carpathian Mountain Lodge, featuring free WiFi, flat-screen TV, and stunning Street View vistas of Bukovel's majestic mountain landscape. Experience comfort and convenience from just $339.29 per night.",Street View
21,1,1,"Experience timeless charm in our Deluxe Courtyard View room at Lviv Old Town Inn, where historic architecture meets modern comfort with complimentary WiFi and entertainment. Wake to enchanting views of the medieval courtyard while enjoying all the conveniences you need for a perfect stay in Lviv's vibrant heart, starting from just $156 per night.",Courtyard View
22,1,1,"Experience elegant comfort in our Deluxe Courtyard View room at Lviv Old Town Inn, featuring complimentary WiFi and flat-screen TV. Wake to charming views of our historic courtyard while enjoying modern amenities—the perfect retreat after exploring Lviv's medieval charm, starting from just $197 per night.",Courtyard View
23,1,0,"Immerse yourself in luxury at the Grand Riverside Hotel's Deluxe room, where sweeping sea views and complimentary high-speed WiFi create the perfect retreat. This elegantly appointed sanctuary offers serene riverside vistas at just $135.11 per night, ideal for travelers seeking a peaceful escape with modern connectivity and natural beauty.",Sea View
24,0,1,"Enjoy a comfortable stay in our Standard Double room at Seaside Resort Odesa, featuring a charming city view and modern amenities including a TV for your entertainment. At just $106.21 per night, this cozy retreat offers excellent value for exploring the vibrant streets and cultural attractions of Odesa.",City View
25,1,1,"Experience alpine elegance in our Deluxe Courtyard View room at Carpathian Mountain Lodge, featuring complimentary WiFi, flat-screen TV, and stunning vistas of Bukovel's majestic peaks. Your perfect mountain retreat awaits from just $148.86 per night.",Courtyard View
26,1,1,"Experience comfort and convenience at the Grand Riverside Hotel in Kyiv with our inviting Standard Single room, featuring a peaceful courtyard view, complimentary WiFi, and flat-screen TV for just $71.67 per night. Perfect for business travelers or leisure guests seeking a cozy retreat in the heart of the city.",Courtyard View
27,1,1,"Experience comfort and convenience in our Standard Single room at Kharkiv Business Center Hotel, featuring serene pool views, complimentary WiFi, and modern amenities. At just $69.90 per night, it's the perfect choice for business travelers and tourists seeking quality accommodation in Kharkiv.",Pool View
28,1,1,"Experience luxury and comfort at our Grand Riverside Hotel Suite with stunning pool views overlooking the river. Enjoy complimentary high-speed WiFi, flat-screen TV, and exceptional amenities—all for just $330.97 per night.",Pool View
29,1,1,"Experience luxury at Seaside Resort Odesa in our stunning Deluxe room, featuring breathtaking mountain views and modern amenities including complimentary WiFi and flat-screen TV. Unwind in style at just $149.28 per night and enjoy the perfect blend of comfort and affordability.",Mountain View
30,1,1,"Enjoy a comfortable stay in our Standard Single room at Grand Riverside Hotel, featuring stunning city views of Kyiv, complimentary WiFi, and a flat-screen TV for your entertainment. At just $63.50 per night, it's the perfect base for exploring the vibrant capital.",City View
31,1,1,"Discover comfort and convenience in our Standard Double room at Kharkiv Business Center Hotel, featuring a serene garden view, complimentary WiFi, and premium TV entertainment. Enjoy an exceptional stay at just $79.34 per night—your perfect Kharkiv retreat awaits.",Garden View
32,1,1,"Experience luxury at Kharkiv Business Center Hotel in our spacious Suite, offering serene pool views, complimentary high-speed WiFi, and modern entertainment with a flat-screen TV. Enjoy refined comfort at $247.38 per night.",Pool View
33,1,1,"Lviv Old Town Inn Suite - Experience elegant comfort in our spacious suite featuring stunning mountain views and modern amenities including complimentary WiFi and flat-screen TV. Perfectly positioned to explore historic Lviv, this refined retreat awaits at just $220.19 per night.",Mountain View
34,1,1,"Experience charming elegance in our Standard Double room at Lviv Old Town Inn, featuring enchanting city views of historic Lviv, complimentary WiFi, and a flat-screen TV for your entertainment. Perfectly positioned for exploring the medieval architecture and vibrant culture of Old Town, this inviting sanctuary awaits you from just $84.68 per night.",City View
35,1,1,"Indulge in elegance at our Grand Riverside Hotel Suite, featuring breathtaking sea views, complimentary WiFi, and a modern flat-screen TV for your ultimate comfort and entertainment. Experience luxury accommodation at just $325.31 per night in the heart of Kyiv.",Sea View
36,1,1,"Cozy Standard Double room offering serene Courtyard Views of the Carpathian peaks, perfect for a peaceful mountain getaway with complimentary WiFi and flat-screen TV. Unwind in comfort at just $119.18 per night at Carpathian Mountain Lodge in Bukovel.",Courtyard View
37,1,1,"Family Room at Carpathian Mountain Lodge, Bukovel - Experience mountain charm with serene garden views from your spacious family haven. Stay connected with complimentary WiFi, relax with your favorite shows on flat-screen TV, and create lasting memories in this cozy retreat, all from just $222.32 per night.",Garden View
38,1,1,"Escape to our spacious Family Room at Lviv Old Town Inn, where comfort meets charm with stunning pool views and all the essentials including free WiFi and flat-screen TV—the perfect base for exploring the historic heart of Lviv. At just $185.96 per night, create unforgettable memories with your loved ones in a welcoming haven designed for families.",Pool View
39,0,1,"Experience coastal comfort in our Standard Double room at Seaside Resort Odesa, featuring serene pool views, a flat-screen TV, and easy access to our beachfront amenities. Enjoy a relaxing getaway from just $104.43 per night.",Pool View
40,1,1,"Spacious Family Room at Grand Riverside Hotel offering stunning Mountain Views, perfect for creating unforgettable memories with loved ones. Enjoy complimentary WiFi and flat-screen TV entertainment during your stay in Kyiv from just $166.51 per night.",Mountain View
41,1,1,"Spacious Family Room at Kharkiv Business Center Hotel featuring stunning mountain views, complimentary high-speed WiFi, and a flat-screen TV for your entertainment. Perfect for families seeking comfort and convenience at just $175.22 per night.",Mountain View
42,1,1,"Wake up to breathtaking Carpathian Mountain views from your spacious Suite at Carpathian Mountain Lodge in Bukovel, complete with modern amenities including complimentary WiFi and flat-screen TV. Experience mountain luxury at just $348.28 per night.",Mountain View
43,1,1,"Escape to comfort in our spacious Suite with stunning panoramic views of the pool and majestic Carpathian Mountains, complete with complimentary WiFi and a flat-screen TV for your ultimate relaxation. Starting at just $216.11 per night, your perfect mountain retreat awaits.",Pool View
44,1,1,"Experience refined comfort in our Deluxe Pool View room at Kharkiv Business Center Hotel, featuring modern amenities including complimentary WiFi, flat-screen TV, and stunning views of our sparkling pool. The perfect blend of business convenience and leisure relaxation at just $193.52 per night.",Pool View
45,1,1,"Experience sophisticated comfort in our Lviv Old Town Inn Suite, featuring a charming courtyard view and modern amenities including complimentary WiFi and flat-screen TV. Unwind in style at just $220.02 per night.",Courtyard View
46,1,1,"Awake to serene sea views from your cozy Standard Double at Lviv Old Town Inn, featuring complimentary WiFi and flat-screen TV for your ultimate comfort. Enjoy authentic charm at just $113.87 per night in the heart of historic Lviv.",Sea View
47,1,1,"Experience comfort and charm in our Standard Double room at Lviv Old Town Inn, featuring enchanting courtyard views overlooking the historic heart of the city. Stay connected with complimentary WiFi and modern entertainment options including a TV, all at an exceptional value of just $80 per night.",Courtyard View
48,1,1,"Escape to luxury at Carpathian Mountain Lodge with our stunning Deluxe room featuring serene pool views and modern amenities including complimentary WiFi and flat-screen TV. At just $122.06 per night, experience comfort and elegance in the heart of Bukovel's pristine mountain landscape.",Pool View
49,1,1,"Enjoy cozy comfort in our Standard Single room at Carpathian Mountain Lodge, featuring breathtaking Courtyard Views, a flat-screen TV, and complimentary WiFi for your mountain retreat. Wake to stunning Bukovel vistas and unwind after your adventures, all for just $65.33 per night.",Courtyard View
50,1,1,"Experience modern comfort in our Deluxe room at Kharkiv Business Center Hotel, featuring vibrant street views, complimentary WiFi, and premium entertainment. Ideally designed for the discerning traveler, this elegant space offers the perfect retreat at just $199.27 per night.",Street View
